번호,조사 모듈,여정 단계,질문(보완 반영),타사와 비교포인트,중요(★)
Q1,,,"아이폰 총 이용기간, 아이폰이 좋은 이유(갤럭시 대비), 계속 아이폰을 쓰는 이유? (오프닝이니 가볍게)",,
Q2,오프닝/컨텍스트,오프닝,"번호 이동 시점, 최근 번호이동은 어디에서 어디로 이동했나요? (U+↔SKT/KT)",이동 전/후 통신사 경험 비교를 위한 기본 맥락,
Q3,,,"이번 이동에서 가장 중요했던 기준 Top3는 무엇이었나요? (요금/혜택/단말조건/배송/개통/품질/앱/보안/AI/결합 등) | Top3 기준을 ‘가중치(100점 배분)’로 나누고, 실제 경험 후 가중치가 바뀌었는지도 말해 주세요.",U+ vs SKT vs KT에서 기준별 체감 차이,★
Q4,,,아이폰 사용 이력(기간)과 애플 생태계 몰입 정도(기기/icloud 등)를 간단히 알려주세요.,애플 생태계 기대치에 부합한 통신 경험(앱/온보딩/보안) 비교,
Q5,,,"현재 이용 중인 통신사 NPS(0~10)는 몇 점이고, 이유는 무엇인가요? | (중요) 점수의 근거가 된 ‘결정적 순간(Top1)’과 ‘반대로 점수를 깎은 순간(Top1)’을 시간순으로 구체 사례로 설명해 주세요.",현재 통신사 vs 직전 통신사 평가 차이,★
Q6,,,"직전 통신사 NPS(0~10)는 몇 점이고, 이유는 무엇인가요? | (중요) 점수의 근거가 된 ‘결정적 순간(Top1)’과 ‘반대로 점수를 깎은 순간(Top1)’을 시간순으로 구체 사례로 설명해 주세요.",직전 통신사 대비 현재 통신사 강/약점,★
Q7,,,"9~10점(프로모터)을 주려면 무엇이 달라져야 하나요? (초기 가설) | (중요) 바뀌어야 할 3가지를 ‘여정 단계’에 매핑하고, 각각을 충족했을 때 NPS가 몇 점까지 오를지(예: +2/+3)도 말해 주세요.",U+가 SKT/KT 대비 따라가거나 이길 영역,★
Q8,번호이동 결정여정,결정 여정,"처음 ‘옮길까?’라고 생각한 트리거 사건이 있었나요? (언제/무슨 일/누가 영향)
- 트리거 전/후 기대가 어떻게 바뀌었는지, 그리고 그 기대를 충족한 통신사는 어디였는지까지 비교해 주세요.",트리거가 통신사별로 무엇이 달랐는지,★
Q9,,,"탐색 시작부터 통신사 결정까지 과정이 어땠나요? 선택까지 총 얼마나 걸렸나요? 중간에 갈등/망설임이 있었나요?
- 결정 과정에서 ‘불확실성’(정보 부족/약속 불명확) 때문에 추가로 들인 시간/노력(전화, 방문, 커뮤니티 검색)을 구체적으로 말해 주세요.",의사결정 마찰(시간/불확실성/신뢰) 비교,★
Q10,,,"커뮤니티/유튜브/지인/대리점 중 결정에 가장 큰 영향을 준 1순위는 무엇인가요?
- 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.",통신사별 정보접점(공식/비공식) 신뢰도 차이,
Q11,,,"커뮤니티에서 신뢰하는 글/작성자/지표(성지표, 좌표, 후기 패턴 등)가 있나요?",통신사별 ‘좋다/나쁘다’가 형성되는 근거 비교,
Q12,,,커뮤니티에서 불신하게 되는 신호는 무엇인가요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,통신사별 불신 유발 요소(조건/후기/대응) 비교,
Q13,탐색/인지,혜택 비교,"번호이동 전 통신사에 대해 기대했던 핵심 2~3가지는 무엇이었나요?
- 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.",기대 수준이 U+ vs SKT/KT에서 어떻게 달랐는지,
Q14,,,사전예약/혜택 비교 과정에서 가장 도움이 된 것은 무엇이었나요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,혜택 탐색의 편의성/명확성 비교,
Q15,,,"사은품/보상프로그램/할인 조건은 이해하기 쉬웠나요? 무엇이 이해를 방해했나요? (유지기간/차감/페이백/제휴카드/등급조건 등) | 조건(유지기간/제휴카드/페이백 등)이 ‘신뢰’에 미친 영향과, 이해를 돕는 가장 좋은 제시 방식(표/요약/시뮬레이터)을 제안해 주세요.",조건의 투명성/복잡도: U+ vs SKT/KT,★
Q16,,재고/알림,원하는 모델/색상 재고를 확인하는 과정은 어땠나요? | 재고/알림이 불확실했을 때 ‘통신사’에 대한 신뢰가 어떻게 달라졌는지(점수로) 말해 주세요.,재고 확인의 정확도/속도/경로 비교,★
Q17,,,실시간 재고 표시나 예약 알림(문자/앱)은 신뢰할 만했나요? | 재고/알림이 불확실했을 때 ‘통신사’에 대한 신뢰가 어떻게 달라졌는지(점수로) 말해 주세요.,알림 신뢰도 및 안내 일관성 비교,★
Q18,,,불안/불신이 생긴 순간이 있었나요? 그때 무엇을 했나요? (커뮤니티 재확인/지점 전화/타사 이동 등) | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,불신 발생 시 통신사별 대응/대안 경험 비교,
Q19,,비교 요약,"탐색/인지 단계에서 어느 통신사가 더 좋았고(우위), 왜 그랬나요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.",U+ vs SKT vs KT 우위 근거,
Q20,,,"탐색/인지 단계에서 어느 통신사가 열위였고, 결정에 얼마나 영향을 줬나요? (1~5) | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.",열위 임팩트 비교,
Q21,배송,배송 일정,"신청 후 배송까지 약속한 일정과 실제 도착은 일치했나요? | (중요) 배송 약속이 지켜지지 않았을 때 ‘보상’보다 더 중요했던 것은 무엇이었나요? (예: 사전 예고, 대체 옵션, 진행상태)",약속-실행 일치: U+ vs SKT/KT,★
Q22,,배송 안내,지연이 있었다면 사전 안내가 있었나요? 안내 방식은 만족스러웠나요?,지연 커뮤니케이션 품질 비교,
Q23,,지연 보상,지연/문제 발생 시 보상/대응이 있었나요? ‘공정하다’고 느꼈나요?,보상 정책/태도의 체감 비교,
Q24,,언박싱,언박싱 순간에 ‘신경 썼다/안 썼다’ 느낀 포인트가 있나요?,패키징/동봉물/안내물 등 디테일 비교,
Q25,,,이 경험이 브랜드 인식에 영향을 줬나요?,브랜드 인식 변화를 만든 요소 비교,
Q26,개통,번호이동/개통,개통은 한 번에 끝났나요? 중간에 막힌 단계가 있었나요?,개통 마찰/오류: U+ vs SKT/KT,
Q27,,eSIM/QR,"eSIM/QR 발급 과정에서 헷갈렸던 문구/화면이 있었나요? | (중요) iOS 관점에서 헷갈리는 용어/화면을 그대로 지적하고, 더 나은 문구를 고객 언어로 바꿔 제안해 주세요.",앱/문구/절차의 명확성 비교,★
Q28,,Seamless 정의,"‘매끄러운 개통’이란 어떤 상태인가요? (시간/인증/진행상태/오류대안 등) | ‘매끄러움’의 기준을 시간(분), 단계 수, 실패 시 대안 제공 여부로 구체화해 주세요.",고객 기준으로 통신사별 충족도 비교,★
Q29,,비교 요약,"U+ vs SKT/KT 중 개통이 더 매끄러웠던 곳은 어디이고, 이유는 무엇인가요? (프로세스/앱 UI/상담/매장 숙련도) | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.",우위 요인 분해 비교,
Q30,온보딩,초기 세팅,"통신사 온보딩에서 가장 필요했던 3가지는 무엇이었나요? (데이터이전/eSIM설정/혜택바로쓰기/보안세팅/아이폰 팁 등) | (중요) iOS 관점에서 헷갈리는 용어/화면을 그대로 지적하고, 더 나은 문구를 고객 언어로 바꿔 제안해 주세요. | (중요) ‘가입 직후~첫 주’에 꼭 필요한 안내를 우선순위로 정하고, 통신사앱/문자/챗봇 중 가장 적합한 채널을 선택해 주세요.",통신사별 제공 범위/품질 비교,★
Q31,,,실제로 그 가이드가 있었나요? 있었다면 찾기 쉬웠나요?,가이드 제공 채널/발견성 비교,
Q32,,아이폰 전용,고객이 생각하는 ‘아이폰 전용 가이드’는 어떤 형태인가요? (체크리스트/영상/챗봇/앱 플로우),통신사별 적합한 형식/현재 수준 비교,
Q33,,타이밍/채널,이상적인 온보딩은 언제/어디서/어떤 방식으로 제공되면 좋나요? (가입 직후/개통 직후/첫 로그인/문제 발생 시),통신사별 제공 타이밍 적절성 비교,
Q34,첫 빌링,첫 청구,"첫 달 요금은 예상과 같았나요? 차이가 났다면 무엇 때문인가요? | (중요) ‘신뢰가 깨지는 포인트’를 정확히 짚고, 고객이 납득 가능한 청구서/앱 화면 구성(핵심 3요소)을 제안해 주세요.",요금 예측 정확도: U+ vs SKT/KT,★
Q35,,청구 이해,"일할계산/부가서비스/프로모션 적용은 이해가 쉬웠나요? | (중요) ‘신뢰가 깨지는 포인트’를 정확히 짚고, 고객이 납득 가능한 청구서/앱 화면 구성(핵심 3요소)을 제안해 주세요.",청구서 가독성/설명력 비교,★
Q36,,불신 포인트,"요금/청구에서 ‘불신’을 만든 문구/구조가 있었나요? | (중요) ‘신뢰가 깨지는 포인트’를 정확히 짚고, 고객이 납득 가능한 청구서/앱 화면 구성(핵심 3요소)을 제안해 주세요.",불신 유발 요소 비교,★
Q37,,개선 기대,고객이 ‘안심’하려면 어떤 안내가 있어야 하나요? (시뮬레이션/이번달만 항목 강조/전후 비교표 등),통신사별로 기대하는 개선 우선순위,
Q38,이용,멤버십,최근 4주 동안 멤버십을 언제/어디서/무엇 때문에 썼나요? (사례 2~3개) | (중요) 혜택 사용 과정에서 마찰(찾기/조건/인증/매장)과 만족(즉시성/일상성)을 각각 사례로 말해 주세요.,혜택 체감 및 사용 편의성: U+ vs SKT/KT,★
Q39,,,멤버십에서 가장 중요한 것은 무엇인가요? (질/양/사용편의) | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,중요도와 통신사별 충족도 비교,
Q40,,,등급 차등에 대한 느낌은 어떤가요? (노골적/합리적/불쾌/동기부여),등급 정책 커뮤니케이션 비교,
Q41,,통신사앱,통신사앱을 여는 대표 상황 3가지는 무엇인가요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,앱 사용 목적별 만족도 비교,
Q42,,,"앱 UI/UX에서 iOS 유저가 특히 거슬리는 지점은 무엇인가요? (정보과다/동선/용어/로딩/로그인/권한/배너) | (중요) ‘iOS답다’고 느끼는 앱의 기준(심플함/동선/용어/광고/속도)을 정의하고, U+원이 개선해야 할 Top3를 뽑아 주세요.",U+원 vs 티월드/마이KT UX 비교,★
Q43,,,‘세련됐다/신뢰된다’고 느끼게 하는 앱 요소는 무엇인가요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,신뢰 형성 UI/콘텐츠 비교,
Q44,,AI 서비스,"익시오/에이닷을 쓰는 순간은 언제인가요? (녹음/요약/스팸/피싱 등) | (중요) 실제 사용 시나리오 2개(통화/스팸 등)를 말하고, ‘통신사 락인’에 기여하는 정도를 평가해 주세요.",AI 기능 가치 체감 비교,★
Q45,,,‘있어서 좋은 기능’ vs ‘없으면 불편한 기능’을 구분하면 무엇인가요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,필수/선택 기능의 통신사별 포지셔닝,
Q46,,,AI 기능이 통신사 선택에 영향을 줬나요? 어느 정도인가요? (1~5) | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,AI가 전환에 미친 영향 비교,
Q47,,보안,개인정보/피싱/해킹 우려는 얼마나 큰가요?,우려 수준 대비 통신사 신뢰 비교,
Q48,,,통신사 보안 기능을 ‘인지’하게 되는 경로는 무엇인가요? (앱/문자/매장/커뮤니티) | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,인지 경로 효과성 비교,
Q49,,,"보안 기능에서 ‘신뢰’를 주는 안내 방식은 무엇인가요? | (중요) 보안에서 신뢰를 주는 ‘증거’는 무엇인지(알림, 차단, 보상, 인증 등)와, 통신사별 차이를 말해 주세요.",신뢰 커뮤니케이션 방식 비교,★
Q50,,커뮤니티,통신 관련해서 커뮤니티는 어떤 순간에 찾나요?,커뮤니티 의존 순간과 통신사 접점 비교,
Q51,,,커뮤니티에서 통신사별로 자주 보이는 평판 키워드는 무엇인가요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,브랜드 평판 구조 비교,
Q52,,,통신사가 커뮤니티에서 공식 대응하는 것을 어떻게 보나요? 진정성 조건은 무엇인가요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,공식 대응의 호불호 및 기대 비교,
Q53,문제해결,문제 사건 재현,"문제는 무엇이었나요? (장소/시간/상황/빈도) | (중요) 문제 발생→접수→진단→조치→사후 안내까지의 타임라인을 재구성하고, 각 단계에서 기대/실제의 차이를 말해 주세요.",문제 유형과 통신사별 발생/체감 비교,★
Q54,,접수,누구에게 먼저 말했나요? (커뮤니티/지인/고객센터/매장),선호 접점 및 통신사별 접근성 비교,
Q55,,진행/조치,"접수는 쉬웠나요? 진행상태를 알 수 있었나요? | (중요) 문제 발생→접수→진단→조치→사후 안내까지의 타임라인을 재구성하고, 각 단계에서 기대/실제의 차이를 말해 주세요.",접수/상태공유 UX 비교,★
Q56,,결과,"조치 결과는 어땠나요? ‘납득’했나요? 납득을 만든 요소는 무엇인가요? (진정성/책임/개선의지) | (중요) 문제 발생→접수→진단→조치→사후 안내까지의 타임라인을 재구성하고, 각 단계에서 기대/실제의 차이를 말해 주세요.",대응 태도/결과 비교,★
Q57,,NW 커뮤니케이션,"고객이 원하는 NW 안내 톤/내용은 무엇인가요? (인정/예측/대안/보상) | (중요) 문제 발생→접수→진단→조치→사후 안내까지의 타임라인을 재구성하고, 각 단계에서 기대/실제의 차이를 말해 주세요.",통신사별 커뮤니케이션 격차,★
Q58,,역효과,오히려 역효과였던 안내/응대가 있었나요?,하면 안 되는 커뮤니케이션 비교,
Q59,,비교 요약,문제 해결에서 가장 잘했던 통신사는 어디이고 이유는 무엇인가요? | 그 우위를 만든 ‘구체 기능/프로세스/커뮤니케이션’ 1가지를 U+가 적용한다면 어떻게 구현해야 할지 제안해 주세요.,우위 통신사 및 강점 비교,★
Q60,,개선,U+가 이것만 고치면 점수가 올라갈 것 1~2개는 무엇인가요? | 그 경험이 당시 기대를 ‘충족/초과/미달’ 중 무엇이었는지와 이유를 말해 주세요.,U+ 개선 우선과제 도출,
Q61,프로모터 전환,우선순위,"지금 통신사에 9~10점을 주려면 딱 3가지만 바뀌면 됩니다. 무엇인가요? | (중요) 바뀌어야 할 3가지를 ‘여정 단계’에 매핑하고, 각각을 충족했을 때 NPS가 몇 점까지 오를지(예: +2/+3)도 말해 주세요.",U+가 따라가야 할 것 vs 차별화할 것,★
Q62,,매핑,그 3가지를 여정 단계에 매핑하면 어디인가요?,여정 단계별 임팩트 비교,
Q63,,과제 구체화,‘통신사는 [어떤 순간]에 [어떤 정보/행동]을 [어떤 채널]로 제공해야 한다’ 문장으로 바꿔볼까요?,구체 해결안이 통신사별로 어떻게 달라져야 하는지,
Q64,,우선순위 점수,각 개선과제의 고객 입장 임팩트(1~5)와 실행 난이도(1~5)를 매겨주세요. | 임팩트가 큰데 난이도가 낮은 ‘퀵윈’ 1개도 꼭 골라 주세요.,우선순위(임팩트/난이도) 비교,★